Symbol,Date,Close
UNL,12/12/2017,28500
UNL,11/30/2017,28701
UNL,11/28/2017,28700
UNL,11/23/2017,29000
UNL,11/21/2017,28700
UNL,11/19/2017,28988
UNL,11/16/2017,29000
UNL,11/14/2017,30000
UNL,11/12/2017,29001
UNL,11/8/2017,29001
UNL,11/5/2017,27990
UNL,11/1/2017,28560
UNL,10/29/2017,28000
UNL,10/25/2017,28812
UNL,10/23/2017,29400
UNL,9/14/2017,30500
UNL,9/13/2017,30000
UNL,9/12/2017,30000
UNL,9/11/2017,30000
UNL,9/6/2017,30088
UNL,8/30/2017,30702
UNL,8/28/2017,30100
UNL,8/27/2017,30000
UNL,8/22/2017,29950
UNL,8/17/2017,29950
UNL,8/13/2017,30001
UNL,8/7/2017,30001
UNL,8/1/2017,30000
UNL,7/31/2017,30000
UNL,7/27/2017,29886
UNL,7/25/2017,29300
UNL,7/24/2017,29000
UNL,7/20/2017,29000
UNL,7/19/2017,28700
UNL,7/17/2017,29200
UNL,7/16/2017,29200
UNL,7/13/2017,29204
UNL,7/10/2017,30069
UNL,7/9/2017,29000
UNL,7/2/2017,29000
UNL,6/14/2017,29400
UNL,6/11/2017,30000
UNL,6/8/2017,30000
UNL,6/5/2017,30170
UNL,5/28/2017,29580
UNL,5/18/2017,29580
UNL,5/2/2017,29580
UNL,4/30/2017,29580
UNL,4/26/2017,29000
UNL,4/23/2017,29580
UNL,4/20/2017,29000
UNL,4/18/2017,29000
UNL,4/16/2017,28812
UNL,4/9/2017,29976
UNL,4/2/2017,30587
UNL,3/30/2017,29988
UNL,3/13/2017,30200
UNL,3/6/2017,30200
UNL,3/5/2017,30000
UNL,3/1/2017,29000
UNL,2/28/2017,29000
UNL,2/22/2017,29000
UNL,1/31/2017,29000
UNL,1/25/2017,28651
UNL,1/23/2017,28090
UNL,1/22/2017,27540
UNL,1/18/2017,27000
UNL,1/1/2017,27000
